id_client,secteur_activite,niveau_education
24987,Salari̩ formel,Sup̩rieur
24988,Salari̩ formel,Primaire
24989,Petit commerce,Sup̩rieur
24990,Salari̩ formel,Primaire
24991,Salari̩ formel,Sans dipl̫me
24992,Agriculture,Secondaire
24993,Profession lib̩rale,Secondaire
24994,Petit commerce,Secondaire
24995,Salari̩ formel,Primaire
24996,Petit commerce,Secondaire
24997,Petit commerce,Sup̩rieur
24998,Salari̩ formel,Secondaire
24999,Petit commerce,Sans dipl̫me
25000,Commerce/N̩goce,Secondaire
25001,Agriculture,Primaire
25002,Petit commerce,Sans dipl̫me
25003,Agriculture,Primaire
25004,Salari̩ formel,Primaire
25005,Agriculture,Sans dipl̫me
25006,Salari̩ formel,Sans dipl̫me
25007,Agriculture,Secondaire
25008,Agriculture,Primaire
25009,Petit commerce,Sup̩rieur
25010,Petit commerce,Secondaire
25011,Agriculture,Primaire
25012,Salari̩ formel,Primaire
25013,Petit commerce,Sans dipl̫me
25014,Agriculture,Sup̩rieur
25015,Petit commerce,Secondaire
25016,Petit commerce,Sup̩rieur
25017,Salari̩ formel,Primaire
25018,Petit commerce,Secondaire
25019,Salari̩ formel,Primaire
25020,Petit commerce,Secondaire
25021,Agriculture,Sup̩rieur
25022,Petit commerce,Sans dipl̫me
25023,Commerce/N̩goce,Primaire
25024,Salari̩ formel,Secondaire
25025,Agriculture,Sup̩rieur
25026,Petit commerce,Sans dipl̫me
25027,Petit commerce,Secondaire
25028,Agriculture,Primaire
25029,Petit commerce,Primaire
25030,Petit commerce,Secondaire
25031,Salari̩ formel,Sup̩rieur
25032,Petit commerce,Sup̩rieur
25033,Petit commerce,Secondaire
25034,Agriculture,Secondaire
25035,Agriculture,Secondaire
25036,Salari̩ formel,Secondaire
25037,Petit commerce,Sans dipl̫me
25038,Petit commerce,Sans dipl̫me
25039,Commerce/N̩goce,Secondaire
25040,Salari̩ formel,Sans dipl̫me
25041,Salari̩ formel,Secondaire
25042,Agriculture,Primaire
25043,Salari̩ formel,Sans dipl̫me
25044,Petit commerce,Sans dipl̫me
25045,Commerce/N̩goce,Secondaire
25046,Petit commerce,Primaire
25047,Salari̩ formel,Secondaire
25048,Salari̩ formel,Sans dipl̫me
25049,Agriculture,Sans dipl̫me
25050,Petit commerce,Sans dipl̫me
25051,Petit commerce,Primaire
25052,Agriculture,Secondaire
25053,Agriculture,Secondaire
25054,Agriculture,Secondaire
25055,Salari̩ formel,Secondaire
25056,Agriculture,Primaire
25057,Salari̩ formel,Sup̩rieur
25058,Petit commerce,Sans dipl̫me
25059,Agriculture,Primaire
25060,Agriculture,Secondaire
25061,Artisanat,Sup̩rieur
25062,Petit commerce,Primaire
25063,Commerce/N̩goce,Secondaire
25064,Petit commerce,Primaire
25065,Salari̩ formel,Primaire
25066,Commerce/N̩goce,Primaire
25067,Petit commerce,Primaire
25068,Profession lib̩rale,Secondaire
25069,Salari̩ formel,Sup̩rieur
25070,Salari̩ formel,Sup̩rieur
25071,Salari̩ formel,Secondaire
25072,Agriculture,Secondaire
25073,Profession lib̩rale,Primaire
25074,Salari̩ formel,Secondaire
25075,Salari̩ formel,Secondaire
25076,Salari̩ formel,Primaire
25077,Petit commerce,Primaire
25078,Agriculture,Primaire
25079,Agriculture,Primaire
25080,Agriculture,Primaire
25081,Salari̩ formel,Sans dipl̫me
25082,Agriculture,Secondaire
25083,Salari̩ formel,Primaire
25084,Salari̩ formel,Secondaire
25085,Commerce/N̩goce,Sup̩rieur
25086,Agriculture,Sup̩rieur
25087,Salari̩ formel,Sup̩rieur
25088,Petit commerce,Secondaire
25089,Petit commerce,Secondaire
25090,Agriculture,Secondaire
25091,Salari̩ formel,Primaire
25092,Salari̩ formel,Secondaire
25093,Agriculture,Secondaire
25094,Salari̩ formel,Secondaire
25095,Commerce/N̩goce,Sans dipl̫me
25096,Agriculture,Secondaire
25097,Petit commerce,Sans dipl̫me
25098,Agriculture,Primaire
25099,Petit commerce,Secondaire
25100,Salari̩ formel,Secondaire
25101,Salari̩ formel,Secondaire
25102,Agriculture,Secondaire
25103,Salari̩ formel,Secondaire
25104,Petit commerce,Secondaire
25105,Salari̩ formel,Primaire
25106,Profession lib̩rale,Secondaire
25107,Agriculture,Primaire
25108,Agriculture,Secondaire
25109,Petit commerce,Primaire
25110,Salari̩ formel,Sans dipl̫me
25111,Salari̩ formel,Sans dipl̫me
25112,Salari̩ formel,Sup̩rieur
25113,Petit commerce,Sans dipl̫me
25114,Agriculture,Secondaire
25115,Agriculture,Secondaire
25116,Salari̩ formel,Sup̩rieur
25117,Agriculture,Primaire
25118,Petit commerce,Secondaire
25119,Petit commerce,Secondaire
25120,Petit commerce,Primaire
25121,Commerce/N̩goce,Sup̩rieur
25122,Petit commerce,Sup̩rieur
25123,Salari̩ formel,Secondaire
25124,Artisanat,Secondaire
25125,Salari̩ formel,Sup̩rieur
25126,Agriculture,Secondaire
25127,Agriculture,Sup̩rieur
25128,Agriculture,Primaire
25129,Petit commerce,Sup̩rieur
25130,Petit commerce,Primaire
25131,Salari̩ formel,Primaire
25132,Salari̩ formel,Secondaire
25133,Petit commerce,Sup̩rieur
25134,Agriculture,Primaire
25135,Salari̩ formel,Sup̩rieur
25136,Petit commerce,Sup̩rieur
25137,Petit commerce,Sans dipl̫me
25138,Petit commerce,Primaire
25139,Agriculture,Primaire
25140,Petit commerce,Secondaire
25141,Petit commerce,Secondaire
25142,Petit commerce,Sup̩rieur
25143,Petit commerce,Secondaire
25144,Salari̩ formel,Secondaire
25145,Salari̩ formel,Secondaire
25146,Petit commerce,Sup̩rieur
25147,Agriculture,Sans dipl̫me
25148,Salari̩ formel,Secondaire
25149,Petit commerce,Secondaire
25150,Salari̩ formel,Primaire
25151,Salari̩ formel,Secondaire
25152,Agriculture,Primaire
25153,Petit commerce,Sans dipl̫me
25154,Petit commerce,Primaire
25155,Agriculture,Primaire
25156,Petit commerce,Sans dipl̫me
25157,Petit commerce,Sup̩rieur
25158,Petit commerce,Secondaire
25159,Agriculture,Secondaire
25160,Salari̩ formel,Secondaire
25161,Salari̩ formel,Secondaire
25162,Profession lib̩rale,Secondaire
25163,Salari̩ formel,Sup̩rieur
25164,Profession lib̩rale,Secondaire
25165,Salari̩ formel,Primaire
25166,Salari̩ formel,Secondaire
25167,Petit commerce,Secondaire
25168,Petit commerce,Sup̩rieur
25169,Salari̩ formel,Secondaire
25170,Salari̩ formel,Secondaire
25171,Petit commerce,Secondaire
25172,Petit commerce,Sans dipl̫me
25173,Petit commerce,Secondaire
25174,Agriculture,Sans dipl̫me
25175,Salari̩ formel,Sup̩rieur
25176,Petit commerce,Sans dipl̫me
25177,Salari̩ formel,Primaire
25178,Agriculture,Sup̩rieur
25179,Agriculture,Sup̩rieur
25180,Commerce/N̩goce,Primaire
25181,Agriculture,Sans dipl̫me
25182,Salari̩ formel,Sans dipl̫me
25183,Petit commerce,Secondaire
25184,Salari̩ formel,Sup̩rieur
25185,Salari̩ formel,Secondaire
25186,Agriculture,Primaire
25187,Agriculture,Secondaire
25188,Agriculture,Secondaire
25189,Agriculture,Secondaire
25190,Agriculture,Sup̩rieur
25191,Profession lib̩rale,Sup̩rieur
25192,Salari̩ formel,Secondaire
25193,Salari̩ formel,Sup̩rieur
25194,Salari̩ formel,Secondaire
25195,Salari̩ formel,Primaire
25196,Agriculture,Primaire
25197,Commerce/N̩goce,Secondaire
25198,Petit commerce,Sans dipl̫me
25199,Petit commerce,Primaire
25200,Salari̩ formel,Secondaire
25201,Salari̩ formel,Sans dipl̫me
25202,Petit commerce,Sans dipl̫me
25203,Petit commerce,Secondaire
25204,Agriculture,Sup̩rieur
25205,Petit commerce,Secondaire
25206,Agriculture,Primaire
25207,Agriculture,Primaire
25208,Agriculture,Secondaire
25209,Agriculture,Sup̩rieur
25210,Agriculture,Secondaire
25211,Salari̩ formel,Sans dipl̫me
25212,Petit commerce,Primaire
25213,Agriculture,Secondaire
25214,Petit commerce,Secondaire
25215,Petit commerce,Sans dipl̫me
25216,Profession lib̩rale,Secondaire
25217,Salari̩ formel,Sup̩rieur
25218,Agriculture,Primaire
25219,Salari̩ formel,Secondaire
25220,Petit commerce,Secondaire
25221,Salari̩ formel,Secondaire
25222,Salari̩ formel,Primaire
25223,Salari̩ formel,Sup̩rieur
25224,Petit commerce,Primaire
25225,Petit commerce,Primaire
25226,Salari̩ formel,Primaire
25227,Salari̩ formel,Secondaire
25228,Agriculture,Primaire
25229,Salari̩ formel,Secondaire
25230,Profession lib̩rale,Sup̩rieur
25231,Salari̩ formel,Primaire
25232,Agriculture,Sans dipl̫me
25233,Petit commerce,Secondaire
25234,Salari̩ formel,Secondaire
25235,Salari̩ formel,Secondaire
25236,Salari̩ formel,Secondaire
25237,Salari̩ formel,Primaire
25238,Agriculture,Primaire
25239,Salari̩ formel,Secondaire
25240,Petit commerce,Sup̩rieur
25241,Profession lib̩rale,Secondaire
25242,Salari̩ formel,Secondaire
25243,Commerce/N̩goce,Primaire
25244,Salari̩ formel,Primaire
25245,Salari̩ formel,Sans dipl̫me
25246,Petit commerce,Sans dipl̫me
25247,Salari̩ formel,Secondaire
25248,Commerce/N̩goce,Sans dipl̫me
25249,Agriculture,Sans dipl̫me
25250,Salari̩ formel,Secondaire
25251,Agriculture,Secondaire
25252,Petit commerce,Sup̩rieur
25253,Profession lib̩rale,Secondaire
25254,Agriculture,Secondaire
25255,Petit commerce,Sup̩rieur
25256,Agriculture,Sup̩rieur
25257,Profession lib̩rale,Secondaire
25258,Petit commerce,Secondaire
25259,Agriculture,Sans dipl̫me
25260,Petit commerce,Secondaire
25261,Agriculture,Primaire
25262,Petit commerce,Sup̩rieur
25263,Petit commerce,Secondaire
25264,Agriculture,Secondaire
25265,Agriculture,Sup̩rieur
25266,Agriculture,Primaire
25267,Salari̩ formel,Secondaire
25268,Salari̩ formel,Primaire
25269,Salari̩ formel,Primaire
25270,Petit commerce,Sup̩rieur
25271,Agriculture,Secondaire
25272,Petit commerce,Sup̩rieur
25273,Salari̩ formel,Sup̩rieur
25274,Agriculture,Sup̩rieur
25275,Commerce/N̩goce,Sans dipl̫me
25276,Agriculture,Sans dipl̫me
25277,Petit commerce,Secondaire
25278,Agriculture,Secondaire
25279,Salari̩ formel,Sans dipl̫me
25280,Salari̩ formel,Sans dipl̫me
25281,Agriculture,Secondaire
25282,Petit commerce,Secondaire
25283,Salari̩ formel,Secondaire
25284,Salari̩ formel,Primaire
25285,Salari̩ formel,Secondaire
25286,Agriculture,Secondaire
25287,Agriculture,Primaire
25288,Petit commerce,Secondaire
25289,Petit commerce,Sup̩rieur
25290,Petit commerce,Sans dipl̫me
25291,Profession lib̩rale,Secondaire
25292,Profession lib̩rale,Secondaire
25293,Petit commerce,Secondaire
25294,Artisanat,Sans dipl̫me
25295,Petit commerce,Secondaire
25296,Salari̩ formel,Secondaire
25297,Agriculture,Sup̩rieur
25298,Petit commerce,Sans dipl̫me
25299,Artisanat,Primaire
25300,Salari̩ formel,Primaire
25301,Agriculture,Secondaire
25302,Agriculture,Sup̩rieur
25303,Agriculture,Primaire
25304,Profession lib̩rale,Primaire
25305,Salari̩ formel,Secondaire
25306,Agriculture,Sans dipl̫me
25307,Agriculture,Primaire
25308,Petit commerce,Secondaire
25309,Profession lib̩rale,Sup̩rieur
25310,Commerce/N̩goce,Secondaire
25311,Salari̩ formel,Secondaire
25312,Salari̩ formel,Secondaire
25313,Salari̩ formel,Primaire
25314,Salari̩ formel,Secondaire
25315,Petit commerce,Primaire
25316,Agriculture,Secondaire
25317,Salari̩ formel,Secondaire
25318,Agriculture,Secondaire
25319,Petit commerce,Sans dipl̫me
25320,Commerce/N̩goce,Secondaire
25321,Petit commerce,Primaire
25322,Salari̩ formel,Primaire
25323,Agriculture,Secondaire
25324,Profession lib̩rale,Secondaire
25325,Agriculture,Secondaire
25326,Petit commerce,Primaire
25327,Salari̩ formel,Sans dipl̫me
25328,Commerce/N̩goce,Primaire
25329,Agriculture,Secondaire
25330,Agriculture,Sans dipl̫me
25331,Petit commerce,Sans dipl̫me
25332,Agriculture,Secondaire
25333,Salari̩ formel,Secondaire
25334,Agriculture,Sans dipl̫me
25335,Salari̩ formel,Primaire
25336,Agriculture,Secondaire
25337,Petit commerce,Primaire
25338,Petit commerce,Sup̩rieur
25339,Salari̩ formel,Primaire
25340,Salari̩ formel,Sup̩rieur
25341,Commerce/N̩goce,Primaire
25342,Agriculture,Primaire
25343,Agriculture,Sans dipl̫me
25344,Salari̩ formel,Primaire
25345,Petit commerce,Secondaire
25346,Agriculture,Primaire
25347,Petit commerce,Sup̩rieur
25348,Agriculture,Primaire
25349,Salari̩ formel,Sans dipl̫me
25350,Salari̩ formel,Sans dipl̫me
25351,Salari̩ formel,Primaire
25352,Salari̩ formel,Sans dipl̫me
25353,Salari̩ formel,Sup̩rieur
25354,Petit commerce,Sup̩rieur
25355,Petit commerce,Secondaire
25356,Salari̩ formel,Secondaire
25357,Agriculture,Secondaire
25358,Salari̩ formel,Sans dipl̫me
25359,Petit commerce,Secondaire
25360,Commerce/N̩goce,Sans dipl̫me
25361,Petit commerce,Primaire
25362,Petit commerce,Primaire
25363,Salari̩ formel,Secondaire
25364,Profession lib̩rale,Sup̩rieur
25365,Salari̩ formel,Primaire
25366,Salari̩ formel,Secondaire
25367,Agriculture,Primaire
25368,Salari̩ formel,Primaire
25369,Petit commerce,Primaire
25370,Salari̩ formel,Secondaire
25371,Agriculture,Sans dipl̫me
25372,Agriculture,Secondaire
25373,Agriculture,Primaire
25374,Salari̩ formel,Sans dipl̫me
25375,Agriculture,Secondaire
25376,Agriculture,Secondaire
25377,Salari̩ formel,Primaire
25378,Commerce/N̩goce,Sans dipl̫me
25379,Salari̩ formel,Primaire
25380,Agriculture,Secondaire
25381,Agriculture,Secondaire
25382,Salari̩ formel,Sup̩rieur
25383,Commerce/N̩goce,Secondaire
25384,Agriculture,Primaire
25385,Agriculture,Sup̩rieur
25386,Agriculture,Sup̩rieur
25387,Salari̩ formel,Sup̩rieur
25388,Agriculture,Primaire
25389,Salari̩ formel,Secondaire
25390,Agriculture,Primaire
25391,Agriculture,Secondaire
25392,Agriculture,Primaire
25393,Petit commerce,Primaire
25394,Agriculture,Sans dipl̫me
25395,Agriculture,Primaire
25396,Salari̩ formel,Secondaire
25397,Salari̩ formel,Secondaire
25398,Petit commerce,Primaire
25399,Agriculture,Sans dipl̫me
25400,Salari̩ formel,Sup̩rieur
25401,Petit commerce,Sup̩rieur
25402,Agriculture,Sans dipl̫me
25403,Petit commerce,Sans dipl̫me
25404,Salari̩ formel,Primaire
25405,Salari̩ formel,Secondaire
25406,Salari̩ formel,Primaire
25407,Petit commerce,Secondaire
25408,Petit commerce,Secondaire
25409,Salari̩ formel,Secondaire
25410,Petit commerce,Secondaire
25411,Salari̩ formel,Secondaire
25412,Salari̩ formel,Secondaire
25413,Petit commerce,Secondaire
25414,Petit commerce,Sans dipl̫me
25415,Salari̩ formel,Primaire
25416,Salari̩ formel,Sup̩rieur
25417,Petit commerce,Primaire
25418,Agriculture,Secondaire
25419,Agriculture,Secondaire
25420,Salari̩ formel,Secondaire
25421,Petit commerce,Secondaire
25422,Agriculture,Secondaire
25423,Petit commerce,Primaire
25424,Petit commerce,Sup̩rieur
25425,Salari̩ formel,Secondaire
25426,Agriculture,Sans dipl̫me
25427,Salari̩ formel,Primaire
25428,Agriculture,Sans dipl̫me
25429,Agriculture,Secondaire
25430,Agriculture,Sans dipl̫me
25431,Agriculture,Primaire
25432,Commerce/N̩goce,Sup̩rieur
25433,Petit commerce,Sup̩rieur
25434,Salari̩ formel,Secondaire
25435,Petit commerce,Primaire
25436,Agriculture,Sup̩rieur
25437,Salari̩ formel,Primaire
25438,Agriculture,Primaire
25439,Salari̩ formel,Sup̩rieur
25440,Petit commerce,Sup̩rieur
25441,Salari̩ formel,Secondaire
25442,Salari̩ formel,Secondaire
25443,Salari̩ formel,Secondaire
25444,Salari̩ formel,Sup̩rieur
25445,Salari̩ formel,Sup̩rieur
25446,Agriculture,Secondaire
25447,Petit commerce,Secondaire
25448,Salari̩ formel,Secondaire
25449,Petit commerce,Secondaire
25450,Salari̩ formel,Sans dipl̫me
25451,Petit commerce,Primaire
25452,Agriculture,Secondaire
25453,Salari̩ formel,Primaire
25454,Petit commerce,Primaire
25455,Petit commerce,Primaire
25456,Agriculture,Secondaire
25457,Salari̩ formel,Sup̩rieur
25458,Salari̩ formel,Primaire
25459,Petit commerce,Primaire
25460,Salari̩ formel,Sup̩rieur
25461,Petit commerce,Primaire
25462,Salari̩ formel,Secondaire
25463,Petit commerce,Secondaire
25464,Salari̩ formel,Sup̩rieur
25465,Agriculture,Secondaire
25466,Salari̩ formel,Sup̩rieur
25467,Salari̩ formel,Secondaire
25468,Agriculture,Primaire
25469,Salari̩ formel,Primaire
25470,Agriculture,Secondaire
25471,Salari̩ formel,Sup̩rieur
25472,Petit commerce,Secondaire
25473,Profession lib̩rale,Secondaire
25474,Salari̩ formel,Secondaire
25475,Salari̩ formel,Sans dipl̫me
25476,Agriculture,Secondaire
25477,Petit commerce,Sans dipl̫me
25478,Salari̩ formel,Secondaire
25479,Salari̩ formel,Sup̩rieur
25480,Agriculture,Primaire
25481,Petit commerce,Secondaire
25482,Petit commerce,Sans dipl̫me
25483,Petit commerce,Primaire
25484,Petit commerce,Primaire
25485,Salari̩ formel,Sans dipl̫me
25486,Salari̩ formel,Secondaire
25487,Petit commerce,Secondaire
25488,Salari̩ formel,Primaire
25489,Petit commerce,Secondaire
25490,Salari̩ formel,Sup̩rieur
25491,Salari̩ formel,Secondaire
25492,Petit commerce,Sup̩rieur
25493,Salari̩ formel,Secondaire
25494,Petit commerce,Secondaire
25495,Salari̩ formel,Primaire
25496,Agriculture,Primaire
25497,Commerce/N̩goce,Primaire
25498,Petit commerce,Sup̩rieur
25499,Agriculture,Secondaire
25500,Petit commerce,Sans dipl̫me
25501,Agriculture,Secondaire
25502,Salari̩ formel,Sans dipl̫me
25503,Petit commerce,Secondaire
25504,Petit commerce,Secondaire
25505,Profession lib̩rale,Primaire
25506,Petit commerce,Secondaire
25507,Agriculture,Sup̩rieur
25508,Petit commerce,Secondaire
25509,Salari̩ formel,Secondaire
25510,Salari̩ formel,Sup̩rieur
25511,Profession lib̩rale,Secondaire
25512,Agriculture,Secondaire
25513,Salari̩ formel,Secondaire
25514,Salari̩ formel,Primaire
25515,Petit commerce,Sans dipl̫me
25516,Commerce/N̩goce,Sup̩rieur
25517,Agriculture,Sans dipl̫me
25518,Salari̩ formel,Secondaire
25519,Agriculture,Sans dipl̫me
25520,Salari̩ formel,Secondaire
25521,Agriculture,Sans dipl̫me
25522,Petit commerce,Secondaire
25523,Agriculture,Secondaire
25524,Agriculture,Secondaire
25525,Salari̩ formel,Secondaire
25526,Salari̩ formel,Secondaire
25527,Salari̩ formel,Primaire
25528,Agriculture,Primaire
25529,Petit commerce,Primaire
25530,Salari̩ formel,Secondaire
25531,Salari̩ formel,Secondaire
25532,Agriculture,Primaire
25533,Salari̩ formel,Sans dipl̫me
25534,Petit commerce,Secondaire
25535,Petit commerce,Sup̩rieur
25536,Commerce/N̩goce,Secondaire
25537,Salari̩ formel,Secondaire
25538,Agriculture,Sup̩rieur
25539,Petit commerce,Secondaire
25540,Petit commerce,Primaire
25541,Salari̩ formel,Secondaire
25542,Agriculture,Secondaire
25543,Petit commerce,Secondaire
25544,Petit commerce,Sans dipl̫me
25545,Agriculture,Secondaire
25546,Agriculture,Secondaire
25547,Petit commerce,Sans dipl̫me
25548,Petit commerce,Secondaire
25549,Agriculture,Secondaire
25550,Petit commerce,Secondaire
25551,Salari̩ formel,Secondaire
25552,Salari̩ formel,Primaire
25553,Agriculture,Sans dipl̫me
25554,Agriculture,Sans dipl̫me
25555,Commerce/N̩goce,Secondaire
25556,Salari̩ formel,Secondaire
25557,Petit commerce,Primaire
25558,Salari̩ formel,Primaire
25559,Agriculture,Primaire
25560,Salari̩ formel,Sup̩rieur
25561,Petit commerce,Secondaire
25562,Salari̩ formel,Primaire
25563,Agriculture,Primaire
25564,Salari̩ formel,Sans dipl̫me
25565,Petit commerce,Primaire
25566,Commerce/N̩goce,Sup̩rieur
25567,Agriculture,Primaire
25568,Salari̩ formel,Primaire
25569,Agriculture,Sup̩rieur
25570,Salari̩ formel,Sup̩rieur
25571,Artisanat,Primaire
25572,Agriculture,Sans dipl̫me
25573,Salari̩ formel,Sans dipl̫me
25574,Salari̩ formel,Secondaire
25575,Salari̩ formel,Secondaire
25576,Petit commerce,Secondaire
25577,Salari̩ formel,Primaire
25578,Agriculture,Sup̩rieur
25579,Salari̩ formel,Primaire
25580,Petit commerce,Sans dipl̫me
25581,Salari̩ formel,Primaire
25582,Petit commerce,Secondaire
25583,Profession lib̩rale,Secondaire
25584,Salari̩ formel,Secondaire
25585,Salari̩ formel,Secondaire
25586,Profession lib̩rale,Primaire
25587,Commerce/N̩goce,Sup̩rieur
25588,Salari̩ formel,Primaire
25589,Agriculture,Sup̩rieur
25590,Agriculture,Sup̩rieur
25591,Petit commerce,Primaire
25592,Petit commerce,Secondaire
25593,Salari̩ formel,Sup̩rieur
25594,Salari̩ formel,Secondaire
25595,Artisanat,Secondaire
25596,Agriculture,Primaire
25597,Petit commerce,Primaire
25598,Commerce/N̩goce,Primaire
25599,Salari̩ formel,Secondaire
25600,Petit commerce,Primaire
25601,Agriculture,Sup̩rieur
25602,Agriculture,Sup̩rieur
25603,Salari̩ formel,Sup̩rieur
25604,Agriculture,Secondaire
25605,Petit commerce,Primaire
25606,Agriculture,Primaire
25607,Agriculture,Sans dipl̫me
25608,Salari̩ formel,Sup̩rieur
25609,Salari̩ formel,Sup̩rieur
25610,Petit commerce,Secondaire
25611,Profession lib̩rale,Sup̩rieur
25612,Agriculture,Sup̩rieur
25613,Salari̩ formel,Sans dipl̫me
25614,Salari̩ formel,Secondaire
25615,Salari̩ formel,Primaire
25616,Salari̩ formel,Secondaire
25617,Salari̩ formel,Secondaire
25618,Salari̩ formel,Secondaire
25619,Salari̩ formel,Secondaire
25620,Agriculture,Sup̩rieur
25621,Petit commerce,Primaire
25622,Salari̩ formel,Primaire
25623,Agriculture,Secondaire
25624,Agriculture,Secondaire
25625,Petit commerce,Sans dipl̫me
25626,Salari̩ formel,Sup̩rieur
25627,Agriculture,Primaire
25628,Salari̩ formel,Secondaire
25629,Petit commerce,Secondaire
25630,Agriculture,Secondaire
25631,Agriculture,Secondaire
25632,Agriculture,Sans dipl̫me
25633,Profession lib̩rale,Primaire
25634,Petit commerce,Sup̩rieur
25635,Commerce/N̩goce,Sup̩rieur
25636,Commerce/N̩goce,Secondaire
25637,Salari̩ formel,Sup̩rieur
25638,Agriculture,Sup̩rieur
25639,Salari̩ formel,Sup̩rieur
25640,Agriculture,Secondaire
25641,Petit commerce,Secondaire
25642,Salari̩ formel,Primaire
25643,Petit commerce,Primaire
25644,Petit commerce,Primaire
25645,Commerce/N̩goce,Sup̩rieur
25646,Agriculture,Sans dipl̫me
25647,Salari̩ formel,Primaire
25648,Agriculture,Secondaire
25649,Agriculture,Sup̩rieur
25650,Petit commerce,Primaire
